timestamp,x,y,z
0,5.31,8.27,-2.26
10,5.27,8.2,-2.42
20,5.2,8.35,-2.46
30,5.21,8.46,-2.51
40,5.26,8.48,-2.39
50,5.32,8.46,-2.17
60,5.39,8.44,-2.08
70,5.39,8.4,-1.91
80,5.34,8.32,-2.14
90,5.32,8.38,-2.06
100,5.34,8.44,-2.08
110,5.32,8.4,-2.05
120,5.4,8.25,-2.06
130,5.43,8.33,-1.87
140,5.49,8.34,-1.65
150,5.53,8.35,-1.68
160,5.48,8.41,-1.69
170,5.47,8.54,-1.75
180,5.43,8.69,-1.7
190,5.43,8.7,-1.69
200,5.42,8.53,-1.52
210,5.41,8.37,-1.24
220,5.5,8.28,-0.99
230,5.56,8.4,-0.77
240,5.54,8.41,-0.75
250,5.45,8.31,-0.9
260,5.31,8.13,-1.14
270,5.31,8.18,-1.3
280,5.35,8.42,-1.21
290,5.42,8.61,-0.89
300,5.5,8.62,-0.63
310,5.54,8.49,-0.54
320,5.48,8.33,-0.74
330,5.39,8.25,-0.94
340,5.35,8.2,-1.07
350,5.4,8.35,-1.13
360,5.5,8.64,-0.84
370,5.63,8.89,-0.45
380,5.64,8.88,-0.08
390,5.54,8.62,0.08
400,5.38,8.19,0.06
410,5.17,7.92,0.16
420,5.12,7.91,0.23
430,5.18,7.93,0.85
440,5.32,7.92,1.69
450,5.36,7.76,2.43
460,5.37,7.45,2.92
470,5.31,7.1,3.1
480,5.33,6.5,3.11
490,5.29,6.2,4.09
500,5.09,5.74,4.44
510,4.64,4.4,3.33
520,3.93,3.32,2.41
530,2.99,1.59,0.42
540,2.08,0.71,-1.29
550,1.44,0.79,-2.56
560,0.77,1.26,-3.68
570,0.2,1.5,-5.2
580,-0.58,1.39,-7.14
590,-1.2,1.23,-9.12
600,-1.8,1.57,-10.88
610,-2.18,2.38,-11.82
620,-2.36,2.97,-12.46
630,-2.34,3.76,-13.01
640,-2.11,4.53,-13.53
650,-1.7,5.79,-13.9
660,-1.05,8.36,-13.16
670,-0.34,11.03,-12.43
680,-0.47,13.48,-12.0
690,-0.14,13.57,-11.87
700,0.3,12.02,-12.09
710,-0.09,13.81,-11.64
720,0.12,15.03,-10.75
730,0.58,16.24,-9.01
740,0.92,17.23,-7.44
750,0.92,18.09,-6.3
760,0.89,18.95,-5.54
770,1.02,19.85,-5.13
780,0.93,20.47,-4.24
790,1.18,20.29,-3.17
800,1.42,19.7,-1.58
810,1.54,18.91,-0.11
820,1.59,18.37,0.86
830,1.31,17.9,1.87
840,1.23,17.7,3.22
850,1.3,18.11,4.42
860,1.57,19.03,4.77
870,1.72,19.08,4.74
880,1.8,18.48,5.63
890,1.65,17.42,6.72
900,1.58,16.0,6.82
910,1.37,14.5,7.05
920,1.18,12.89,7.07
930,0.99,11.22,7.22
940,0.82,9.71,7.66
950,0.71,8.61,7.15
960,0.7,7.97,6.13
970,0.78,7.24,5.15
980,0.66,6.29,4.51
990,0.74,5.22,3.71
1000,0.86,4.04,3.14
