timestamp,x,y,z
0,4.13,8.99,-2.06
10,4.15,8.95,-1.95
20,4.16,8.85,-1.98
30,4.19,8.78,-2.1
40,4.22,8.8,-1.97
50,4.26,8.94,-1.81
60,4.31,9.11,-1.77
70,4.27,9.2,-1.61
80,4.27,9.15,-1.57
90,4.24,9.11,-1.42
100,4.27,9.01,-1.31
110,4.28,8.89,-1.1
120,4.32,8.67,-0.71
130,4.42,8.67,-0.45
140,4.46,8.73,-0.25
150,4.49,8.82,-0.06
160,4.54,9.02,0.38
170,4.67,9.04,0.94
180,4.91,8.86,1.99
190,5.12,8.44,3.34
200,5.19,7.85,4.38
210,5.32,7.55,5.04
220,5.21,7.2,5.42
230,4.81,6.69,5.67
240,4.12,6.06,4.96
250,3.1,5.02,3.34
260,2.05,3.51,1.55
270,1.26,2.69,-0.01
280,0.93,2.87,-1.42
290,0.67,3.34,-2.17
300,0.36,3.78,-2.88
310,0.07,4.19,-3.62
320,-0.24,4.48,-4.33
330,-0.63,5.06,-5.43
340,-0.78,5.35,-7.03
350,-1.05,6.0,-8.02
360,-0.96,6.87,-8.62
370,-0.88,7.57,-8.68
380,-0.84,7.88,-8.71
390,-0.84,7.84,-8.85
400,-0.68,8.21,-8.76
410,-0.27,9.33,-8.74
420,-0.01,10.57,-8.76
430,-0.15,10.7,-9.01
440,-0.22,11.4,-8.54
450,-0.3,12.2,-9.09
460,-0.28,13.46,-9.57
470,0.14,14.42,-8.88
480,-0.52,16.1,-8.21
490,-0.36,16.48,-7.46
500,-0.33,16.6,-6.96
510,-0.45,16.37,-6.59
520,-0.43,16.28,-6.19
530,-0.47,16.45,-5.6
540,-0.45,16.67,-4.92
550,-0.33,16.56,-4.07
560,-0.36,16.0,-3.25
570,-0.19,15.47,-2.33
580,0.11,15.31,-1.47
590,0.37,15.42,-0.07
600,0.47,15.42,0.33
610,0.53,15.63,1.34
620,0.7,15.54,1.73
630,0.88,15.28,2.55
640,1.25,14.91,3.71
650,1.69,14.59,4.47
660,1.91,14.08,5.23
670,2.12,13.75,6.49
680,2.26,13.49,7.43
690,2.25,13.3,7.58
700,2.09,12.95,7.2
710,1.79,12.12,6.8
720,1.52,10.86,6.6
730,1.37,9.83,6.48
740,1.31,9.14,6.26
750,1.26,8.74,5.8
760,1.21,8.47,5.07
770,1.18,8.35,4.76
780,1.24,7.98,4.26
790,1.24,7.38,4.0
800,1.31,6.61,3.65
810,1.44,5.94,3.31
820,1.43,5.1,2.51
830,1.47,4.44,1.68
840,1.43,3.74,0.61
850,1.58,3.46,0.0
860,1.76,3.37,-0.8
870,2.0,3.66,-1.45
880,2.27,4.16,-1.82
890,2.43,4.61,-2.4
900,2.37,4.91,-3.12
910,2.22,4.95,-4.19
920,2.15,4.92,-5.13
930,2.1,4.93,-6.27
940,2.23,5.07,-7.12
950,2.25,5.28,-7.48
960,2.38,5.86,-7.59
970,2.6,6.79,-7.72
980,2.86,7.6,-7.82
990,3.09,7.98,-7.5
1000,3.23,8.0,-6.99
