timestamp,x,y,z
0,4.73,8.88,-1.35
10,4.69,8.86,-1.37
20,4.68,8.84,-1.33
30,4.7,8.72,-1.27
40,4.74,8.59,-1.35
50,4.75,8.46,-1.29
60,4.8,8.49,-1.32
70,4.86,8.52,-1.16
80,4.87,8.66,-1.1
90,4.89,8.79,-1.19
100,4.86,8.88,-1.2
110,4.82,8.84,-1.06
120,4.83,8.83,-1.09
130,4.83,8.77,-1.2
140,4.85,8.76,-1.25
150,4.88,8.79,-1.26
160,4.87,8.76,-1.12
170,4.87,8.72,-1.08
180,4.85,8.66,-1.12
190,4.85,8.7,-1.07
200,4.86,8.77,-0.94
210,4.98,8.91,-0.86
220,5.07,9.11,-0.71
230,5.14,9.18,-0.63
240,5.1,9.14,-0.61
250,5.09,9.2,-0.51
260,5.18,9.24,-0.39
270,5.41,9.42,0.08
280,5.67,9.62,0.84
290,5.89,9.68,1.55
300,6.01,9.52,2.09
310,5.95,9.3,2.38
320,5.85,9.0,2.26
330,5.8,8.74,2.38
340,5.77,8.47,2.83
350,5.77,8.3,3.73
360,5.81,7.95,4.45
370,5.5,7.35,5.07
380,4.89,6.48,4.78
390,4.19,5.42,3.58
400,3.59,4.49,2.63
410,3.24,3.99,2.13
420,3.01,3.55,1.58
430,2.51,2.86,1.11
440,1.9,2.0,0.61
450,1.38,1.34,-0.06
460,0.96,0.9,-1.24
470,0.66,0.84,-2.36
480,0.12,1.19,-3.39
490,-0.24,1.58,-4.4
500,-0.54,2.58,-5.29
510,-1.01,3.74,-6.5
520,-1.54,4.79,-7.92
530,-2.13,5.9,-9.38
540,-2.45,7.2,-10.94
550,-2.69,8.64,-12.37
560,-2.75,10.15,-13.69
570,-2.37,10.3,-13.93
580,-2.64,13.6,-12.79
590,-1.68,15.67,-11.97
600,-0.88,16.94,-11.05
610,-0.34,17.11,-9.48
620,0.12,16.69,-8.41
630,-0.49,17.07,-7.73
640,-0.61,16.77,-7.66
650,-0.57,16.93,-6.89
660,-0.51,17.04,-5.91
670,-0.23,17.27,-4.27
680,0.1,17.7,-2.6
690,0.31,17.99,-1.44
700,0.38,17.99,-0.87
710,0.37,17.79,-0.27
720,0.5,17.69,-0.08
730,0.72,17.64,1.34
740,0.88,16.43,2.9
750,1.1,15.44,5.15
760,1.32,14.73,5.25
770,1.78,15.0,5.77
780,2.04,15.75,5.4
790,2.2,15.77,5.55
800,2.11,15.49,6.15
810,1.97,14.42,6.72
820,1.68,12.98,7.17
830,1.53,11.85,7.37
840,1.54,11.39,7.06
850,1.56,11.16,6.87
860,1.51,10.65,6.84
870,1.44,9.83,6.8
880,1.3,8.91,6.41
890,1.13,7.78,5.44
900,1.01,6.96,4.91
910,1.05,6.54,4.05
920,1.16,6.14,3.55
930,1.28,5.57,3.08
940,1.53,5.03,2.47
950,1.7,4.48,1.92
960,1.84,4.05,1.41
970,1.96,4.07,0.68
980,2.02,4.15,-0.06
990,2.08,4.15,-1.06
1000,2.2,4.13,-1.78
