timestamp,x,y,z
0,3.96,8.77,-1.95
10,4.02,8.71,-1.94
20,4.08,8.78,-1.96
30,4.11,8.87,-1.94
40,4.12,8.95,-1.95
50,4.09,9.07,-1.92
60,4.05,9.11,-1.93
70,4.04,9.1,-2.08
80,4.05,9.08,-2.1
90,4.03,9.15,-2.23
100,4.03,9.13,-2.2
110,3.97,9.02,-2.19
120,3.92,8.89,-2.3
130,3.96,8.85,-2.4
140,4.04,8.79,-2.29
150,4.09,8.78,-1.99
160,4.08,8.78,-1.96
170,4.07,8.8,-2.04
180,3.98,8.76,-1.99
190,3.92,8.73,-2.06
200,3.91,8.78,-2.03
210,3.94,8.88,-1.82
220,4.05,9.01,-1.42
230,4.19,9.14,-1.05
240,4.41,9.13,-0.61
250,4.68,9.0,0.25
260,4.94,8.81,1.37
270,5.08,8.55,2.26
280,5.17,8.37,3.02
290,5.11,8.28,3.7
300,5.0,8.26,4.13
310,5.0,8.07,4.36
320,4.89,7.78,5.09
330,4.66,7.33,5.2
340,4.3,6.49,4.71
350,3.84,5.7,4.08
360,3.39,5.26,3.12
370,2.93,4.86,2.37
380,2.47,4.51,1.58
390,1.83,4.05,0.77
400,1.21,3.75,-0.56
410,0.42,3.28,-2.33
420,-0.36,2.78,-3.75
430,-1.19,2.61,-5.08
440,-1.78,2.94,-6.51
450,-2.09,4.06,-8.04
460,-2.29,5.2,-9.19
470,-2.46,5.82,-9.54
480,-2.57,6.6,-10.32
490,-2.64,7.32,-11.33
500,-2.45,8.06,-11.94
510,-2.22,8.99,-11.46
520,-1.87,9.75,-10.69
530,-1.58,10.3,-9.94
540,-1.08,11.17,-9.64
550,-0.43,11.97,-9.74
560,-0.59,11.82,-9.49
570,-0.3,12.92,-7.51
580,0.11,14.09,-6.72
590,0.42,15.07,-5.63
600,0.47,15.47,-5.01
610,0.24,15.87,-4.95
620,-0.1,16.56,-5.03
630,-0.25,17.34,-5.32
640,-0.31,17.91,-4.85
650,-0.27,18.11,-3.65
660,-0.13,18.06,-2.35
670,-0.1,18.02,-1.74
680,-0.22,17.25,-1.42
690,-0.3,16.59,-0.95
700,-0.32,15.97,-0.51
710,-0.39,15.48,0.09
720,-0.36,14.75,0.24
730,-0.34,14.49,0.85
740,-0.29,14.23,1.28
750,-0.19,14.34,1.62
760,-0.04,14.43,2.26
770,0.19,14.73,2.86
780,0.47,14.69,3.5
790,0.62,14.24,4.43
800,0.82,13.62,4.93
810,1.18,13.64,5.54
820,1.36,13.62,5.71
830,1.52,13.23,6.33
840,1.5,12.73,7.15
850,1.46,12.17,7.02
860,1.35,11.73,6.46
870,1.26,11.07,6.07
880,1.14,10.0,5.81
890,1.02,8.88,5.84
900,0.98,7.63,5.34
910,0.99,6.7,5.15
920,1.03,6.05,4.81
930,1.37,5.83,4.38
940,1.74,5.6,3.93
950,1.96,5.25,3.91
960,2.06,4.62,3.29
970,1.89,3.45,2.24
980,1.58,2.39,1.18
990,1.54,1.98,-0.16
1000,1.63,2.23,-1.11
