timestamp,x,y,z
0,5.8,8.25,0.12
10,5.75,8.31,-0.01
20,5.71,8.24,-0.07
30,5.71,8.17,-0.19
40,5.75,8.17,-0.05
50,5.82,8.23,0.07
60,5.92,8.35,0.18
70,5.92,8.43,0.23
80,5.88,8.36,0.1
90,5.82,8.34,0.03
100,5.81,8.28,-0.12
110,5.88,8.25,-0.04
120,5.94,8.24,0.13
130,5.97,8.18,0.09
140,5.97,8.19,0.17
150,5.89,8.1,-0.05
160,5.81,8.04,-0.17
170,5.72,8.07,-0.14
180,5.71,8.18,-0.05
190,5.74,8.31,-0.09
200,5.77,8.39,0.04
210,5.79,8.34,0.17
220,5.79,8.2,0.28
230,5.74,7.91,0.11
240,5.67,7.75,0.11
250,5.69,7.65,0.09
260,5.72,7.56,0.23
270,5.71,7.49,0.52
280,5.71,7.28,0.53
290,5.64,7.03,0.62
300,5.42,6.64,0.67
310,5.13,5.86,0.6
320,4.84,5.15,0.69
330,4.37,4.13,0.95
340,3.9,2.72,1.05
350,3.36,1.24,1.64
360,2.73,-0.76,2.21
370,2.11,-2.87,2.94
380,1.52,-4.32,3.73
390,1.09,-6.4,3.96
400,0.39,-8.34,1.69
410,-0.43,-8.81,-1.0
420,-0.87,-5.09,0.13
430,-1.2,0.64,2.44
440,-1.08,5.56,3.1
450,-1.61,12.49,1.21
460,-0.7,18.36,-0.47
470,0.51,22.98,-2.22
480,2.27,21.98,-1.49
490,0.8,25.5,-1.89
500,1.86,22.99,-2.66
510,2.06,21.12,-1.45
520,1.82,21.17,-2.18
530,2.45,21.32,-0.94
540,3.56,20.89,-0.51
550,2.89,22.12,-1.19
560,3.17,21.4,0.04
570,3.26,21.48,0.51
580,3.1,21.26,0.67
590,2.93,20.5,0.89
600,2.86,19.93,1.04
610,2.77,19.85,0.38
620,2.71,19.64,0.25
630,2.65,19.11,-0.1
640,2.74,18.66,0.37
650,2.72,18.77,1.7
660,2.49,18.55,1.55
670,2.27,18.38,0.65
680,2.24,18.79,0.24
690,2.31,18.9,0.12
700,2.26,18.45,0.47
710,1.98,17.16,0.92
720,1.73,15.28,1.66
730,1.19,12.9,2.29
740,0.83,10.62,2.15
750,0.63,8.91,1.24
760,0.42,7.57,0.08
770,0.29,6.1,-0.77
780,0.02,4.27,-0.72
790,-0.17,2.32,-0.95
800,-0.47,-0.18,-1.33
810,-0.91,-2.97,-2.5
820,-0.93,-4.69,-4.75
830,-0.8,-4.99,-5.82
840,-0.45,-4.54,-6.47
850,0.12,-3.5,-6.71
860,0.77,-2.05,-6.48
870,1.39,-0.48,-5.83
880,1.96,1.35,-5.92
890,2.48,2.35,-6.14
900,2.82,2.99,-6.41
910,3.32,3.81,-5.39
920,3.86,4.45,-4.74
930,4.32,4.93,-4.26
940,4.84,5.3,-3.77
950,5.28,5.91,-3.04
960,5.43,6.19,-2.64
970,5.57,6.49,-2.59
980,5.63,6.56,-2.69
990,5.64,6.51,-2.75
1000,5.51,6.16,-2.86
