timestamp,x,y,z
0,6.54,7.75,0.05
10,6.51,7.72,0.04
20,6.5,7.74,-0.06
30,6.55,7.71,-0.13
40,6.59,7.62,0.04
50,6.6,7.55,0.3
60,6.57,7.56,0.22
70,6.53,7.61,0.15
80,6.47,7.67,-0.03
90,6.39,7.68,-0.11
100,6.37,7.73,-0.14
110,6.46,7.88,-0.18
120,6.53,7.98,-0.16
130,6.6,7.97,-0.16
140,6.59,7.8,-0.06
150,6.57,7.69,0.01
160,6.55,7.71,0.11
170,6.6,7.78,0.15
180,6.66,7.87,0.12
190,6.66,7.9,0.16
200,6.64,7.91,0.09
210,6.62,7.91,0.05
220,6.58,7.99,0.07
230,6.5,8.0,0.06
240,6.4,7.89,0.02
250,6.29,7.81,0.05
260,6.29,7.8,0.09
270,6.18,7.49,0.48
280,6.0,6.79,0.72
290,5.7,5.83,0.86
300,5.39,4.75,1.1
310,4.85,3.46,1.38
320,3.94,1.46,1.3
330,2.69,-1.47,1.27
340,1.17,-4.81,2.8
350,-0.28,-9.09,5.82
360,-1.53,-13.59,9.05
370,-2.3,-16.59,7.64
380,-2.48,-15.35,2.85
390,-1.58,-11.35,1.49
400,-2.08,-3.73,2.78
410,-2.08,2.25,5.0
420,-2.28,7.8,4.12
430,-2.11,13.62,1.1
440,-1.36,19.86,-1.95
450,-0.21,23.81,-3.21
460,-0.3,30.19,-4.39
470,1.69,31.58,-6.32
480,2.02,31.47,-5.7
490,1.93,30.48,-5.6
500,2.52,29.3,-3.56
510,2.83,29.33,-2.96
520,3.71,28.81,-2.23
530,4.46,28.5,-0.44
540,4.83,28.1,0.99
550,4.78,27.28,1.8
560,4.37,26.26,2.27
570,4.06,25.88,1.8
580,3.92,25.71,1.71
590,3.55,24.7,2.54
600,2.9,22.8,2.98
610,2.34,21.18,3.04
620,1.9,19.54,2.44
630,1.69,17.96,2.15
640,1.27,15.67,2.72
650,0.66,12.81,2.79
660,0.06,9.67,2.34
670,-0.68,6.45,0.72
680,-1.33,3.41,-1.4
690,-1.65,1.53,-2.83
700,-1.73,0.37,-3.18
710,-1.67,-1.25,-3.64
720,-1.81,-3.1,-3.57
730,-1.74,-4.14,-4.27
740,-1.56,-4.48,-5.83
750,-1.15,-4.23,-6.67
760,-0.48,-3.18,-6.84
770,0.3,-1.96,-6.83
780,1.2,-0.36,-6.13
790,1.99,0.76,-4.94
800,2.57,1.35,-4.22
810,3.16,1.88,-3.87
820,3.91,2.95,-3.49
830,4.64,4.4,-3.17
840,5.15,5.0,-3.29
850,5.67,5.31,-2.77
860,6.05,5.69,-1.15
870,6.23,5.81,-0.3
880,6.11,5.88,-0.55
890,5.87,6.04,-1.24
900,5.58,6.28,-2.32
910,5.41,6.79,-2.88
920,5.33,7.52,-3.0
930,5.23,7.98,-3.38
940,5.12,7.98,-3.57
950,4.96,7.79,-3.72
960,4.82,7.48,-3.73
970,4.73,7.54,-3.42
980,4.84,8.0,-3.33
990,4.91,8.4,-3.46
1000,4.98,8.61,-3.35
