timestamp,x,y,z
0,6.93,7.4,-0.78
10,6.96,7.44,-0.69
20,6.96,7.34,-0.58
30,6.96,7.26,-0.61
40,6.93,7.18,-0.62
50,6.9,7.15,-0.81
60,6.86,7.18,-1.07
70,6.9,7.3,-1.14
80,6.94,7.5,-0.96
90,6.97,7.57,-0.92
100,7.0,7.67,-0.71
110,6.99,7.63,-0.62
120,6.93,7.47,-0.74
130,6.9,7.32,-1.01
140,6.91,7.3,-0.97
150,6.9,7.26,-1.03
160,6.92,7.22,-0.83
170,6.92,7.24,-0.68
180,6.89,7.13,-0.61
190,6.86,7.05,-0.75
200,6.81,7.03,-0.9
210,6.76,7.0,-0.83
220,6.79,7.07,-0.94
230,6.77,7.12,-1.01
240,6.79,7.19,-0.88
250,6.74,7.1,-0.73
260,6.7,6.84,-0.61
270,6.6,6.37,-0.45
280,6.47,5.74,-0.2
290,6.33,5.43,0.01
300,6.18,5.37,0.27
310,5.99,5.22,0.5
320,5.74,4.79,0.74
330,5.48,4.04,0.98
340,5.17,2.87,1.72
350,4.81,1.88,2.99
360,4.33,0.95,4.33
370,3.63,-0.3,4.83
380,3.07,-1.68,5.06
390,2.34,-3.46,5.49
400,1.44,-5.15,5.76
410,0.66,-5.77,5.45
420,0.08,-4.99,3.42
430,-0.28,-2.66,0.66
440,-0.23,0.88,-0.45
450,-0.24,4.13,-1.14
460,-0.39,6.39,-1.8
470,-0.63,7.82,-1.97
480,-0.91,8.95,-2.96
490,-1.14,10.67,-4.2
500,-1.16,12.73,-4.71
510,-0.79,14.16,-6.07
520,-1.94,16.35,-4.76
530,-2.23,19.1,-8.02
540,-1.02,19.21,-8.23
550,-1.38,21.46,-8.4
560,-0.66,21.78,-7.27
570,-0.16,22.04,-6.92
580,-0.29,21.45,-8.59
590,-0.28,20.62,-8.57
600,-0.19,19.07,-7.21
610,-0.18,18.2,-6.23
620,0.03,17.75,-5.7
630,0.1,17.32,-5.47
640,0.12,17.56,-5.01
650,0.18,18.07,-4.76
660,0.31,18.28,-4.61
670,0.29,18.16,-4.23
680,0.17,17.4,-3.66
690,-0.07,16.41,-3.48
700,-0.14,16.17,-3.57
710,0.05,16.35,-3.38
720,0.39,16.81,-2.97
730,0.68,17.37,-2.59
740,0.9,18.12,-2.79
750,0.79,18.69,-2.82
760,0.47,18.4,-2.9
770,0.08,17.6,-3.28
780,-0.19,16.71,-3.85
790,-0.17,16.71,-4.52
800,-0.01,16.81,-4.81
810,-0.07,16.45,-4.49
820,-0.28,15.82,-4.37
830,-0.63,14.71,-4.25
840,-0.98,12.69,-3.4
850,-1.17,10.42,-3.44
860,-1.18,8.2,-3.39
870,-1.05,6.3,-3.57
880,-0.81,5.01,-3.45
890,-0.69,3.39,-2.7
900,-0.62,1.97,-2.31
910,-0.65,0.4,-2.95
920,-0.53,-1.1,-3.8
930,-0.1,-2.2,-3.39
940,0.34,-3.06,-2.49
950,0.84,-3.73,-2.31
960,1.27,-4.14,-2.28
970,1.62,-3.89,-2.73
980,1.86,-2.92,-3.53
990,2.06,-1.86,-4.2
1000,2.52,-0.86,-5.03
