timestamp,x,y,z
0,6.9,7.39,1.33
10,6.83,7.42,1.28
20,6.76,7.47,1.09
30,6.75,7.5,1.17
40,6.78,7.52,1.27
50,6.8,7.52,1.28
60,6.85,7.53,1.38
70,6.83,7.48,1.4
80,6.8,7.42,1.31
90,6.84,7.38,1.31
100,6.83,7.34,1.35
110,6.79,7.35,1.33
120,6.82,7.45,1.33
130,6.83,7.45,1.46
140,6.8,7.35,1.52
150,6.75,7.16,1.33
160,6.71,7.04,1.16
170,6.64,6.98,1.04
180,6.58,6.89,1.12
190,6.54,6.8,1.31
200,6.46,6.56,1.46
210,6.32,6.14,1.8
220,6.07,5.43,1.72
230,5.77,4.83,1.7
240,5.56,4.37,1.8
250,5.42,4.1,1.87
260,5.21,3.6,2.62
270,4.88,2.86,3.72
280,4.63,1.92,4.69
290,4.07,0.82,4.7
300,3.51,-0.45,4.44
310,2.91,-1.92,4.64
320,2.52,-2.5,4.09
330,2.24,-2.87,2.85
340,1.96,-2.19,1.3
350,2.04,0.09,0.64
360,2.23,2.76,0.98
370,2.34,4.53,0.9
380,1.31,7.82,0.89
390,1.58,9.05,0.07
400,2.03,10.03,-1.06
410,1.69,12.64,-2.44
420,2.24,14.23,-2.98
430,2.41,15.3,-2.64
440,2.05,15.43,-2.61
450,2.09,14.56,-2.4
460,2.15,13.97,-2.39
470,3.14,12.85,-2.5
480,2.05,14.3,-1.93
490,1.8,17.04,-2.88
500,2.85,16.94,-3.42
510,2.38,17.82,-2.91
520,2.46,17.32,-2.28
530,2.6,16.7,-1.47
540,2.65,16.18,-1.22
550,3.18,14.24,-1.29
560,2.21,15.29,-1.27
570,1.78,15.15,-0.85
580,1.94,15.55,-0.72
590,1.83,16.2,-0.94
600,2.08,16.52,-0.62
610,2.35,17.22,-0.48
620,2.54,18.05,-0.47
630,2.64,18.69,-0.77
640,2.65,18.87,-0.65
650,2.71,18.71,-0.18
660,2.74,18.33,0.13
670,2.73,17.52,0.44
680,2.55,16.77,0.5
690,2.41,16.33,-0.04
700,2.31,16.24,-0.6
710,2.19,15.96,-0.94
720,2.01,15.51,-1.15
730,1.83,14.94,-1.44
740,1.62,13.96,-1.71
750,1.33,12.78,-2.12
760,1.18,11.61,-2.29
770,1.12,10.49,-2.34
780,1.01,9.38,-2.42
790,0.99,8.09,-2.12
800,1.12,7.18,-2.31
810,1.19,6.29,-2.33
820,1.33,5.3,-2.77
830,1.38,4.49,-2.9
840,1.28,3.43,-3.42
850,1.43,2.63,-3.46
860,1.64,2.02,-3.3
870,2.0,1.72,-3.26
880,2.29,1.59,-3.09
890,2.59,1.59,-3.13
900,2.54,1.39,-3.3
910,2.75,1.67,-3.76
920,2.87,1.87,-4.14
930,3.0,1.81,-4.16
940,3.18,2.14,-4.15
950,3.51,2.38,-4.39
960,3.63,2.87,-4.0
970,3.96,3.49,-3.61
980,4.25,4.36,-3.44
990,4.5,5.18,-3.44
1000,4.73,5.81,-3.4
