timestamp,x,y,z
0,6.64,7.15,-0.73
10,6.59,7.18,-0.82
20,6.59,7.19,-1.02
30,6.56,7.17,-1.18
40,6.6,7.19,-1.26
50,6.68,7.31,-1.25
60,6.76,7.53,-1.22
70,6.83,7.72,-1.08
80,6.87,7.81,-0.9
90,6.85,7.85,-0.81
100,6.83,7.8,-0.78
110,6.85,7.84,-0.82
120,6.91,7.99,-0.94
130,6.87,8.01,-0.88
140,6.79,7.93,-0.68
150,6.72,7.76,-0.65
160,6.6,7.68,-0.75
170,6.56,7.72,-0.8
180,6.53,7.78,-0.72
190,6.48,7.73,-0.4
200,6.58,7.56,0.17
210,6.79,7.62,1.53
220,7.03,7.56,2.93
230,7.2,7.09,4.45
240,7.33,6.45,5.68
250,7.46,6.14,6.58
260,7.98,6.91,7.51
270,8.66,8.07,9.14
280,9.25,9.03,11.4
290,9.84,10.38,13.72
300,10.06,12.23,15.24
310,9.38,13.25,14.99
320,7.87,13.37,11.83
330,5.81,12.66,7.09
340,3.51,10.96,3.58
350,1.06,7.83,0.48
360,-1.29,4.09,-3.01
370,-3.46,0.86,-7.58
380,-5.08,-0.33,-13.22
390,-5.92,-0.99,-18.74
400,-6.65,-1.41,-23.05
410,-6.9,-2.2,-25.25
420,-6.94,-3.28,-25.63
430,-7.19,-3.01,-25.44
440,-6.37,-1.86,-25.23
450,-5.03,-1.3,-23.61
460,-4.1,-1.23,-20.3
470,-3.37,-0.34,-17.1
480,-2.89,0.79,-14.41
490,-2.64,2.91,-12.38
500,-1.4,6.94,-8.31
510,0.44,11.77,-3.14
520,2.27,15.52,1.03
530,3.76,17.67,4.26
540,4.83,18.42,7.33
550,5.46,17.32,9.07
560,5.86,14.11,11.63
570,5.98,14.82,14.54
580,6.37,16.2,16.69
590,6.85,17.58,18.15
600,6.39,19.72,18.6
610,5.68,20.2,17.44
620,4.37,19.4,14.89
630,2.81,17.76,12.05
640,1.23,16.15,9.94
650,0.33,15.2,8.12
660,0.21,14.89,7.03
670,0.31,15.6,5.94
680,0.88,16.56,6.37
690,1.28,17.52,5.8
700,1.3,17.65,4.57
710,0.99,15.43,3.47
720,-0.38,13.59,1.26
730,-0.91,11.12,-0.66
740,-1.71,10.11,-3.12
750,-2.31,9.62,-5.23
760,-2.96,8.26,-7.13
770,-3.97,6.24,-8.71
780,-4.86,4.75,-11.12
790,-5.49,3.65,-13.32
800,-5.92,2.98,-14.8
810,-5.97,2.51,-15.87
820,-5.6,2.32,-16.42
830,-4.91,2.73,-15.96
840,-4.1,3.47,-15.02
850,-3.29,4.25,-13.39
860,-2.49,5.14,-11.44
870,-1.7,6.08,-9.92
880,-0.93,6.99,-8.54
890,-0.31,7.7,-7.14
900,0.4,8.77,-6.19
910,1.0,9.66,-5.05
920,1.55,10.3,-3.7
930,1.94,10.52,-2.61
940,2.11,10.44,-1.79
950,2.03,10.08,-1.64
960,1.76,9.48,-1.9
970,1.52,9.13,-2.05
980,1.36,9.21,-1.97
990,1.3,9.34,-2.01
1000,1.19,9.42,-1.99
