timestamp,x,y,z
0,4.48,8.44,-1.58
10,4.47,8.5,-1.64
20,4.48,8.54,-1.85
30,4.5,8.66,-2.12
40,4.51,8.75,-2.0
50,4.56,8.78,-1.83
60,4.62,8.84,-1.86
70,4.7,8.9,-1.77
80,4.71,8.88,-1.47
90,4.74,8.88,-1.36
100,4.79,9.19,-1.46
110,4.83,9.53,-1.66
120,4.86,9.65,-1.65
130,4.79,9.5,-1.54
140,4.76,9.26,-1.49
150,4.72,9.03,-1.32
160,4.61,8.83,-1.4
170,4.56,8.8,-1.58
180,4.56,8.88,-1.6
190,4.57,8.95,-1.5
200,4.55,9.03,-1.3
210,4.59,9.0,-1.25
220,4.53,8.88,-1.25
230,4.46,8.79,-1.2
240,4.41,8.74,-1.14
250,4.34,8.74,-1.27
260,4.27,8.67,-1.55
270,4.19,8.48,-1.76
280,4.2,8.32,-1.51
290,4.24,8.5,-1.27
300,4.31,8.8,-1.13
310,4.36,9.02,-0.99
320,4.43,9.13,-0.72
330,4.61,9.13,-0.27
340,4.89,9.59,1.02
350,5.04,9.94,2.15
360,5.05,10.01,2.96
370,5.17,9.69,3.01
380,5.55,9.59,3.78
390,6.0,10.43,5.66
400,6.2,11.86,7.26
410,6.01,12.74,7.72
420,5.56,13.22,7.71
430,4.99,13.27,7.25
440,4.34,12.66,6.22
450,3.76,11.4,5.4
460,3.44,10.49,4.77
470,3.07,9.51,3.85
480,2.61,8.73,2.93
490,1.92,7.74,1.07
500,1.15,6.35,-1.36
510,0.29,4.81,-4.03
520,-0.29,3.85,-6.55
530,-0.51,3.43,-8.89
540,-0.71,3.25,-10.39
550,-0.82,2.9,-11.75
560,-0.97,2.4,-13.0
570,-1.12,1.58,-14.08
580,-1.33,0.73,-14.96
590,-1.42,0.63,-15.87
600,-1.34,0.85,-17.08
610,-0.87,0.36,-17.16
620,-1.93,0.82,-17.77
630,-2.27,-0.88,-17.96
640,-3.03,-2.68,-17.7
650,-3.24,-4.4,-16.38
660,-3.06,-5.21,-14.66
670,-2.71,-4.74,-12.29
680,-2.49,-3.38,-10.5
690,-2.8,-1.44,-9.84
700,-3.14,1.3,-10.08
710,-3.27,4.05,-9.35
720,-3.09,6.67,-7.46
730,-2.56,8.95,-5.34
740,-1.99,10.55,-4.18
750,-1.25,11.59,-2.35
760,-0.12,12.96,1.05
770,1.41,15.58,4.76
780,2.79,18.07,7.46
790,3.61,20.05,9.14
800,3.85,21.5,9.32
810,3.7,21.96,8.73
820,3.3,21.61,8.29
830,2.87,21.07,8.11
840,2.08,19.69,9.58
850,1.22,19.7,8.24
860,1.16,19.8,7.18
870,0.64,20.36,7.85
880,0.78,20.33,8.21
890,1.32,18.55,8.55
900,0.17,19.14,7.57
910,0.21,17.96,6.93
920,0.13,17.34,6.49
930,-0.04,16.86,6.38
940,-0.41,16.11,6.0
950,-0.98,14.34,4.86
960,-1.48,12.91,3.86
970,-2.06,11.17,2.83
980,-2.26,9.72,1.89
990,-2.66,9.09,1.56
1000,-3.35,8.32,-0.15
