timestamp,x,y,z
0,5.6,6.97,-1.98
10,5.52,6.98,-1.98
20,5.47,7.04,-2.01
30,5.48,7.05,-2.12
40,5.59,7.12,-2.22
50,5.71,7.18,-2.17
60,5.74,7.19,-2.03
70,5.77,7.24,-1.8
80,5.78,7.23,-1.7
90,5.74,7.13,-1.64
100,5.75,7.24,-1.59
110,5.83,7.55,-1.51
120,5.91,7.84,-1.43
130,6.02,8.2,-1.05
140,6.18,8.54,-0.81
150,6.34,8.72,-0.4
160,6.58,8.85,0.65
170,7.1,9.08,2.33
180,7.81,9.32,4.61
190,8.46,9.5,7.81
200,8.96,9.66,10.64
210,9.27,10.19,11.45
220,9.22,10.62,11.62
230,8.82,11.37,11.96
240,8.56,12.28,12.53
250,8.11,13.27,13.67
260,7.47,13.77,14.14
270,6.22,13.4,12.28
280,4.58,12.08,8.93
290,2.98,10.37,5.62
300,1.53,8.74,2.84
310,-0.15,7.17,0.6
320,-1.67,5.67,-2.12
330,-2.91,4.04,-6.05
340,-3.97,2.69,-10.58
350,-4.92,1.64,-14.51
360,-5.9,0.89,-17.52
370,-6.95,0.03,-20.97
380,-7.51,-0.7,-25.11
390,-7.71,-1.29,-28.45
400,-7.31,-1.13,-29.52
410,-6.48,-0.26,-28.24
420,-5.59,0.62,-25.36
430,-4.96,0.13,-22.04
440,-4.71,-1.28,-18.99
450,-4.88,-1.66,-17.77
460,-5.01,-0.48,-17.16
470,-5.09,1.08,-15.1
480,-5.1,2.76,-11.7
490,-4.62,4.04,-8.08
500,-3.7,5.98,-4.84
510,-2.35,9.25,-1.36
520,-0.16,12.43,2.81
530,2.55,15.07,9.92
540,5.32,17.74,17.59
550,7.14,20.01,22.73
560,7.93,21.78,23.53
570,7.95,23.36,22.47
580,7.34,24.84,21.22
590,6.24,26.06,19.79
600,4.53,24.68,19.37
610,2.81,25.45,15.18
620,2.09,23.93,12.35
630,0.94,24.32,9.85
640,1.19,22.53,9.96
650,1.44,20.93,10.27
660,1.44,19.34,10.47
670,0.79,17.6,10.01
680,-0.72,15.36,8.07
690,-2.74,12.01,4.38
700,-4.48,8.94,-0.34
710,-6.05,6.92,-5.16
720,-6.77,5.81,-8.76
730,-7.58,5.76,-11.37
740,-7.97,4.05,-13.93
750,-8.54,1.64,-16.35
760,-8.67,-0.77,-18.64
770,-8.22,-1.79,-20.08
780,-7.41,-1.77,-20.57
790,-6.27,-0.89,-20.3
800,-4.93,0.1,-19.0
810,-3.66,1.21,-16.62
820,-2.33,2.85,-13.59
830,-1.13,4.41,-10.24
840,-0.06,5.86,-8.51
850,1.17,6.33,-7.05
860,1.36,7.99,-6.41
870,1.91,8.83,-5.43
880,2.02,9.5,-4.73
890,1.85,9.64,-4.4
900,1.6,9.53,-4.3
910,1.26,9.23,-4.14
920,1.02,8.97,-3.72
930,0.86,9.02,-3.49
940,0.62,8.96,-3.62
950,0.45,8.82,-4.21
960,0.3,8.7,-4.31
970,0.23,8.71,-4.25
980,0.28,8.65,-4.27
990,0.35,8.59,-4.17
1000,0.45,8.74,-4.1
