timestamp,x,y,z
0,7.5,6.56,1.16
10,7.47,6.51,1.17
20,7.42,6.39,1.13
30,7.44,6.34,1.0
40,7.41,6.43,1.02
50,7.41,6.51,1.11
60,7.45,6.64,1.27
70,7.56,6.96,1.81
80,7.8,7.33,2.6
90,8.1,7.76,3.14
100,8.45,7.9,4.58
110,8.71,7.5,5.66
120,9.15,6.61,7.61
130,9.53,5.41,9.62
140,9.95,4.54,11.6
150,10.15,4.49,13.38
160,10.33,5.56,15.17
170,10.16,7.3,16.28
180,9.62,8.53,16.42
190,8.91,8.98,15.99
200,7.78,9.08,14.84
210,6.21,8.8,12.48
220,4.32,7.7,9.31
230,2.47,6.21,5.73
240,0.97,4.84,1.86
250,-0.04,3.89,-2.72
260,-0.89,3.09,-7.36
270,-1.69,3.39,-11.31
280,-2.75,4.52,-14.11
290,-3.83,5.18,-16.92
300,-5.1,5.32,-21.23
310,-6.2,4.89,-26.64
320,-6.7,4.02,-31.36
330,-6.63,4.04,-33.7
340,-5.58,4.63,-32.38
350,-4.41,4.57,-27.92
360,-3.1,3.33,-20.93
370,-2.6,3.55,-14.44
380,-1.45,3.11,-9.74
390,-0.32,2.56,-6.49
400,0.06,4.23,-4.64
410,1.16,5.93,-1.64
420,1.94,7.65,1.14
430,2.78,9.01,3.95
440,3.24,9.95,6.35
450,3.6,9.95,7.79
460,4.52,9.95,9.56
470,4.74,12.09,11.14
480,5.54,13.51,13.35
490,6.24,14.4,15.28
500,6.85,15.33,17.1
510,7.4,16.37,17.9
520,7.84,17.07,18.66
530,7.37,18.34,19.02
540,7.02,18.73,18.67
550,6.59,18.7,17.58
560,6.28,18.29,17.54
570,6.32,17.27,18.11
580,4.86,18.21,16.51
590,3.91,17.86,14.35
600,3.1,16.55,12.43
610,1.24,16.05,9.91
620,0.2,14.19,8.56
630,-0.63,12.13,7.02
640,-2.19,10.91,4.02
650,-2.77,8.98,1.49
660,-3.33,8.14,-0.65
670,-3.23,7.74,-2.12
680,-3.41,7.71,-3.5
690,-3.78,7.41,-4.52
700,-4.26,6.87,-6.65
710,-4.77,6.17,-9.61
720,-4.91,5.43,-12.11
730,-4.65,5.46,-13.97
740,-4.37,5.84,-15.4
750,-3.64,6.06,-15.71
760,-3.19,5.98,-15.32
770,-2.66,5.67,-14.62
780,-2.07,5.26,-13.76
790,-1.46,5.27,-12.6
800,-0.75,5.56,-11.84
810,-0.09,5.91,-10.91
820,0.48,6.07,-9.94
830,1.1,6.27,-8.49
840,1.77,7.04,-6.98
850,2.23,7.88,-5.6
860,2.6,8.52,-4.39
870,2.77,8.89,-3.34
880,2.62,9.07,-2.92
890,2.45,9.25,-2.75
900,2.39,9.58,-2.95
910,2.29,9.79,-3.13
920,2.32,9.87,-3.21
930,2.54,9.6,-2.77
940,2.38,9.55,-2.52
950,2.46,8.94,-2.1
960,2.39,8.81,-1.79
970,2.34,9.15,-2.03
980,2.27,9.64,-2.23
990,2.24,10.14,-2.37
1000,2.18,10.31,-2.65
